## design file format
## column 1: fastq file
## column 2: group name
## AD2-WK4_GTAGAG_S16_L001_R1_001.fastq.gz	groupA
## AD26_Wk0_S39_L002_R1_001.fastq.gz	groupB
## AD2-WK4_GTAGAG_S16_L001_R1_002.fastq.gz	groupB
AD18_Wk0_S47_L002_R1_001.fastq.gz	groupA
AD18_Wk12_S19_L001_R1_001.fastq.gz	groupA
AD18_Wk16_S35_L002_R1_001.fastq.gz	groupA
AD18_Wk20_S51_L002_R1_001.fastq.gz	groupA
AD18_Wk24_S11_L001_R1_001.fastq.gz	groupA
AD18_Wk4_S9_L001_R1_001.fastq.gz	groupA
AD18_Wk60_S43_L002_R1_001.fastq.gz	groupA
AD18_Wk8_S33_L002_R1_001.fastq.gz	groupA
AD19_Wk0_S20_L001_R1_001.fastq.gz	groupA
AD19_Wk107_S28_L002_R1_001.fastq.gz	groupA
AD19_Wk12_S38_L002_R1_001.fastq.gz	groupA
AD19_Wk20_S2_L001_R1_001.fastq.gz	groupA
AD19_Wk4_S37_L002_R1_001.fastq.gz	groupA
AD19_Wk52_S16_L001_R1_001.fastq.gz	groupA
AD19_Wk8_S48_L002_R1_001.fastq.gz	groupA
AD23_Wk0_S44_L002_R1_001.fastq.gz	groupA
AD23_Wk109_S25_L001_R1_001.fastq.gz	groupA
AD23_Wk12_S53_L002_R1_001.fastq.gz	groupA
AD23_Wk16_S45_L002_R1_001.fastq.gz	groupA
AD23_Wk20_S49_L002_R1_001.fastq.gz	groupA
AD23_Wk28_S7_L001_R1_001.fastq.gz	groupA
AD23_Wk4_S10_L001_R1_001.fastq.gz	groupA
AD23_Wk52_S17_L001_R1_001.fastq.gz	groupA
AD23_Wk8_S52_L002_R1_001.fastq.gz	groupA
AD25_Wk0_S32_L002_R1_001.fastq.gz	groupA
AD25_Wk104_S3_L001_R1_001.fastq.gz	groupA
AD25_Wk12_S50_L002_R1_001.fastq.gz	groupA
AD25_Wk20_S4_L001_R1_001.fastq.gz	groupA
AD25_Wk24_S5_L001_R1_001.fastq.gz	groupA
AD25_Wk4_S21_L001_R1_001.fastq.gz	groupA
AD25_Wk52_S14_L001_R1_001.fastq.gz	groupA
AD25_Wk8_S29_L002_R1_001.fastq.gz	groupA
AD26_Wk0_S39_L002_R1_001.fastq.gz	groupA
AD26_Wk12_S8_L001_R1_001.fastq.gz	groupA
AD26_Wk20_S6_L001_R1_001.fastq.gz	groupA
AD26_Wk24_S31_L002_R1_001.fastq.gz	groupA
AD26_Wk4_S22_L001_R1_001.fastq.gz	groupA
AD26_Wk56_S23_L001_R1_001.fastq.gz	groupA
AD26_Wk8_S26_L001_R1_001.fastq.gz	groupA
AD29_Wk0_S41_L002_R1_001.fastq.gz	groupA
AD29_Wk16_S46_L002_R1_001.fastq.gz	groupA
AD29_Wk20_S24_L001_R1_001.fastq.gz	groupA
AD29_Wk24_S36_L002_R1_001.fastq.gz	groupA
AD29_Wk4_S40_L002_R1_001.fastq.gz	groupA
AD29_Wk52_S30_L002_R1_001.fastq.gz	groupA
AD29_Wk8_S15_L001_R1_001.fastq.gz	groupA
AD31_Wk0_S18_L001_R1_001.fastq.gz	groupA
AD31_Wk12_S12_L001_R1_001.fastq.gz	groupA
AD31_Wk16_S42_L002_R1_001.fastq.gz	groupA
AD31_Wk24_S13_L001_R1_001.fastq.gz	groupA
AD31_Wk4_S1_L001_R1_001.fastq.gz	groupA
AD31_Wk52_S34_L002_R1_001.fastq.gz	groupA
AD31_Wk8_S27_L002_R1_001.fastq.gz	groupA
